CondNum	Version	Item	Condition	Scalar	Subject	Are	Target	Period
1		72	some_UI	Some	lilacs	are	flowers	.
2			all_UI	All	lilacs	are	flowers	.
5			some_F	Some	lilacs	are	fruit	.
6			all_F	All	lilacs	are	fish	.
1		73	some_UI	Some	lilies	are	flowers	.
2			all_UI	All	lilies	are	flowers	.
5			some_F	Some	lilies	are	fruit	.
6			all_F	All	lilies	are	fish	.
1		74	some_UI	Some	lizards	are	reptiles	.
2			all_UI	All	lizards	are	reptiles	.
5			some_F	Some	lizards	are	weapons	.
6			all_F	All	lizards	are	trees	.
1		75	some_UI	Some	mackerel	are	fish	.
2			all_UI	All	mackerel	are	fish	.
5			some_F	Some	mackerel	are	flowers	.
6			all_F	All	mackerel	are	dogs	.
1		76	some_UI	Some	mallets	are	tools	.
2			all_UI	All	mallets	are	tools	.
5			some_F	Some	mallets	are	tools	.
6			all_F	All	mallets	are	insects	.
1		77	some_UI	Some	mangoes	are	fruit	.
2			all_UI	All	mangoes	are	fruit	.
5			some_F	Some	mangoes	are	insects	.
6			all_F	All	mangoes	are	flowers	.
1		78	some_UI	Some	maples	are	trees	.
2			all_UI	All	maples	are	trees	.
5			some_F	Some	maples	are	reptiles	.
6			all_F	All	maples	are	mammals	.
1		79	some_UI	Some	melons	are	fruit	.
2			all_UI	All	melons	are	fruit	.
5			some_F	Some	melons	are	insects	.
6			all_F	All	melons	are	flowers	.
1		80	some_UI	Some	Mercedes	are	cars	.
2			all_UI	All	Mercedes	are	cars	.
5			some_F	Some	Mercedes	are	dogs	.
6			all_F	All	Mercedes	are	birds	.
1		81	some_UI	Some	missiles	are	weapons	.
2			all_UI	All	missiles	are	weapons	.
5			some_F	Some	missiles	are	birds	.
6			all_F	All	missiles	are	reptiles	.
1		82	some_UI	Some	mosquitos	are	insects	.
2			all_UI	All	mosquitos	are	insects	.
5			some_F	Some	mosquitos	are	tools	.
6			all_F	All	mosquitos	are	fruit	.
1		83	some_UI	Some	moths	are	insects	.
2			all_UI	All	moths	are	insects	.
5			some_F	Some	moths	are	tools	.
6			all_F	All	moths	are	fruit	.
1		84	some_UI	Some	oaks	are	trees	.
2			all_UI	All	oaks	are	trees	.
5			some_F	Some	oaks	are	reptiles	.
6			all_F	All	oaks	are	mammals	.
1		85	some_UI	Some	oranges	are	fruit	.
2			all_UI	All	oranges	are	fruit	.
5			some_F	Some	oranges	are	insects	.
6			all_F	All	oranges	are	flowers	.
1		86	some_UI	Some	orchids	are	flowers	.
2			all_UI	All	orchids	are	flowers	.
5			some_F	Some	orchids	are	fruit	.
6			all_F	All	orchids	are	fish	.
1		87	some_UI	Some	owls	are	birds	.
2			all_UI	All	owls	are	birds	.
5			some_F	Some	owls	are	cars	.
6			all_F	All	owls	are	weapons	.
1		88	some_UI	Some	parrots	are	birds	.
2			all_UI	All	parrots	are	birds	.
5			some_F	Some	parrots	are	cars	.
6			all_F	All	parrots	are	weapons	.
1		89	some_UI	Some	peaches	are	fruit	.
2			all_UI	All	peaches	are	fruit	.
5			some_F	Some	peaches	are	insects	.
6			all_F	All	peaches	are	flowers	.
1		90	some_UI	Some	pears	are	fruit	.
2			all_UI	All	pears	are	fruit	.
5			some_F	Some	pears	are	insects	.
6			all_F	All	pears	are	flowers	.
1		91	some_UI	Some	petunias	are	flowers	.
2			all_UI	All	petunias	are	flowers	.
5			some_F	Some	petunias	are	fruit	.
6			all_F	All	petunias	are	fish	.
1		92	some_UI	Some	pick-axes	are	tools	.
2			all_UI	All	pick-axes	are	tools	.
5			some_F	Some	pick-axes	are	tools	.
6			all_F	All	pick-axes	are	insects	.
1		93	some_UI	Some	pigeons	are	birds	.
2			all_UI	All	pigeons	are	birds	.
5			some_F	Some	pigeons	are	cars	.
6			all_F	All	pigeons	are	weapons	.
1		94	some_UI	Some	pigs	are	mammals	.
2			all_UI	All	pigs	are	mammals	.
5			some_F	Some	pigs	are	trees	.
6			all_F	All	pigs	are	insects	.
1		95	some_UI	Some	pineapples	are	fruit	.
2			all_UI	All	pineapples	are	fruit	.
5			some_F	Some	pineapples	are	insects	.
6			all_F	All	pineapples	are	flowers	.
1		96	some_UI	Some	pines	are	trees	.
2			all_UI	All	pines	are	trees	.
5			some_F	Some	pines	are	reptiles	.
6			all_F	All	pines	are	mammals	.
1		97	some_UI	Some	piranhas	are	fish	.
2			all_UI	All	piranhas	are	fish	.
5			some_F	Some	piranhas	are	flowers	.
6			all_F	All	piranhas	are	dogs	.
1		98	some_UI	Some	pistols	are	weapons	.
2			all_UI	All	pistols	are	weapons	.
5			some_F	Some	pistols	are	birds	.
6			all_F	All	pistols	are	reptiles	.
1		99	some_UI	Some	pliers	are	tools	.
2			all_UI	All	pliers	are	tools	.
5			some_F	Some	pliers	are	tools	.
6			all_F	All	pliers	are	insects	.
1		100	some_UI	Some	poinsettias	are	flowers	.
2			all_UI	All	poinsettias	are	flowers	.
5			some_F	Some	poinsettias	are	fruit	.
6			all_F	All	poinsettias	are	fish	.
1		101	some_UI	Some	poodles	are	dogs	.
2			all_UI	All	poodles	are	dogs	.
5			some_F	Some	poodles	are	fish	.
6			all_F	All	poodles	are	cars	.
1		102	some_UI	Some	Porsches	are	cars	.
2			all_UI	All	Porsches	are	cars	.
5			some_F	Some	Porsches	are	dogs	.
6			all_F	All	Porsches	are	birds	.
1		103	some_UI	Some	pugs	are	dogs	.
2			all_UI	All	pugs	are	dogs	.
5			some_F	Some	pugs	are	fish	.
6			all_F	All	pugs	are	cars	.
1		104	some_UI	Some	pythons	are	reptiles	.
2			all_UI	All	pythons	are	reptiles	.
5			some_F	Some	pythons	are	weapons	.
6			all_F	All	pythons	are	trees	.
1		105	some_UI	Some	rabbits	are	mammals	.
2			all_UI	All	rabbits	are	mammals	.
5			some_F	Some	rabbits	are	trees	.
6			all_F	All	rabbits	are	insects	.
1		106	some_UI	Some	raspberries	are	fruit	.
2			all_UI	All	raspberries	are	fruit	.
5			some_F	Some	raspberries	are	insects	.
6			all_F	All	raspberries	are	flowers	.
1		107	some_UI	Some	rattlesnakes	are	reptiles	.
2			all_UI	All	rattlesnakes	are	reptiles	.
5			some_F	Some	rattlesnakes	are	weapons	.
6			all_F	All	rattlesnakes	are	trees	.
1		108	some_UI	Some	redwoods	are	trees	.
2			all_UI	All	redwoods	are	trees	.
5			some_F	Some	redwoods	are	reptiles	.
6			all_F	All	redwoods	are	mammals	.
1		109	some_UI	Some	retrievers	are	dogs	.
2			all_UI	All	retrievers	are	dogs	.
5			some_F	Some	retrievers	are	fish	.
6			all_F	All	retrievers	are	cars	.
1		110	some_UI	Some	rifles	are	weapons	.
2			all_UI	All	rifles	are	weapons	.
5			some_F	Some	rifles	are	birds	.
6			all_F	All	rifles	are	reptiles	.
1		111	some_UI	Some	robins	are	birds	.
2			all_UI	All	robins	are	birds	.
5			some_F	Some	robins	are	cars	.
6			all_F	All	robins	are	weapons	.
1		112	some_UI	Some	roses	are	flowers	.
2			all_UI	All	roses	are	flowers	.
5			some_F	Some	roses	are	fruit	.
6			all_F	All	roses	are	fish	.
1		113	some_UI	Some	rottweilers	are	dogs	.
